"","pvalue","bh"
"chemo_les",0.134147927165931,0.364418802731974
"chemo_red_les",0.138275710132907,0.364418802731974
"chemo_IF",0.000318360718564524,0.00254688574851619
"chemo_red_IF",7.72246640665769e-05,0.00123559462506523
"rad_les",0.942045557395451,0.942045557395451
"rad_red_les",0.734414649756832,0.903894953546871
"rad_IF",0.00951383190146403,0.0507404368078082
"rad_red_IF",0.0282943147489572,0.113177258995829
"chemo_b",0.918793817367933,0.942045557395451
"rad_b",0.627920617176671,0.837227489568895
"chemo_sobs",0.594690634962668,0.837227489568895
"chemo_shannon",0.182209401365987,0.364418802731974
"chemo_shannoneven",0.162813844082613,0.364418802731974
"rads_sobs",0.93344833791502,0.942045557395451
"rads_shannon",0.383830773678835,0.682365819873484
"rads_shannoneven",0.496513118838031,0.79442099014085
